name,artist,track_id,instrumentalness,danceability,energy,liveness,loudness,acousticness,valence,speechiness,tempo,key,time_signature,length,popularity,mood,mood_map,cluster
Stay Still,Alberto L. Ferro,12nlJypOUmAV4VQxFvfAw1,0.7829999999999999,0.382,0.0305,0.0921,-26.271,0.987,0.0835,0.0574,72.398,11,4,283506,30,Chill,1,1
"Steady, As She Goes",The Raconteurs,2VAlwOewe5c40VHyqozF1V,0.00826,0.534,0.605,0.0781,-4.3660000000000005,0.00865,0.56,0.113,123.003,9,4,215266,1,Energetic,2,2
Still Alive,Mastrovita,3Y6wj6dRP3QmgXeV2zCzbn,0.6679999999999999,0.65,0.912,0.306,-4.2780000000000005,0.3,0.7290000000000001,0.055,126.073,11,4,141951,42,Energetic,2,2
Still Waiting to Start,Nina Nesbitt,1yERtbTiF9fKGxaelyLJOA,0.0,0.615,0.332,0.15,-10.161,0.639,0.515,0.0295,125.894,7,4,183173,54,Sad,0,0
Stormy Weather,Lost Horse Mine,7oXWUVH2t0UR11AvhhY8GQ,0.816,0.444,0.382,0.0915,-9.324,0.00308,0.197,0.0397,123.59,2,3,150169,50,Chill,1,1
Story Of A Violin,Sandro Silva,3JjPOBCCKmvtgSsVIDqFDl,0.287,0.5479999999999999,0.8640000000000001,0.818,-6.835,0.0125,0.161,0.0881,128.196,11,4,154692,52,Energetic,2,2
Strange Dreams,Ella van der Woude,0YXPmthF2oHLQCYIGkSrZy,0.8190000000000001,0.308,0.0229,0.0935,-26.941,0.988,0.148,0.0406,145.717,9,4,133918,30,Chill,1,1
Streets,Kensington,265poZGWCyWo6h5tq7kiA6,8.98e-06,0.376,0.7709999999999999,0.274,-5.8,0.000874,0.419,0.0422,168.15400000000002,6,4,185358,0,Energetic,2,2
Stricken,Disturbed,4VGUcTzWj0ebZ0UgI9irJL,0.0114,0.404,0.969,0.268,-2.938,8.51e-05,0.29,0.195,173.878,8,4,245109,0,Energetic,2,2
Stuck In The Middle With You,Various Artists,1b7LMtXCXGc2EwOIplI35z,0.000531,0.795,0.564,0.0631,-10.482,0.0934,0.961,0.0392,124.166,7,4,203893,73,Energetic,2,2
